CodigoReferenciaSKU;URL da imagem
ACTERSPCX03;spaturbo.vteximg.com.br/arquivos/ids/216504/ACTERSPCX05-2022--2-.jpg
ACTERSPCX03;spaturbo.vteximg.com.br/arquivos/ids/216505/ACTERSPCX05-2022--4-.jpg
ACTERSPCX03;spaturbo.vteximg.com.br/arquivos/ids/216506/ACTERSPCX05-2022--5-.jpg
ACTERSPCX04;spaturbo.vteximg.com.br/arquivos/ids/216495/ACTERSPCX04.jpg
ACTERSPCX04;spaturbo.vteximg.com.br/arquivos/ids/216496/ACTERSPCX05-2022--2-.jpg
ACTERSPCX04;spaturbo.vteximg.com.br/arquivos/ids/216497/ACTERSPCX05-2022--4-.jpg
ACTERSPCX04;spaturbo.vteximg.com.br/arquivos/ids/216498/ACTERSPCX05-2022--5-.jpg
CMBACTE046;spaturbo.vteximg.com.br/arquivos/ids/189116/ACTERSFP11_ab_ML.jpg
CMBACTE046;spaturbo.vteximg.com.br/arquivos/ids/189117/fita-preta.jpg
CMBACTE046;spaturbo.vteximg.com.br/arquivos/ids/190796/ACTERSFP11--1-.jpg
CMBACTE046;spaturbo.vteximg.com.br/arquivos/ids/190797/ACTERSFP11--2-.jpg
ACTERM20;spaturbo.vteximg.com.br/arquivos/ids/174571/ACTERM20--1-.jpg
ACTERM20;spaturbo.vteximg.com.br/arquivos/ids/174572/ACTERM20--5-.jpg
ACTERM20;spaturbo.vteximg.com.br/arquivos/ids/174573/ACTERM20--4-.jpg
ACTERM22;spaturbo.vteximg.com.br/arquivos/ids/174574/ACTERM22--1-.jpg
ACTERM22;spaturbo.vteximg.com.br/arquivos/ids/174575/ACTERM22--2-.jpg
ACTERM22;spaturbo.vteximg.com.br/arquivos/ids/174576/ACTERM22--3-.jpg
ACTERM24;spaturbo.vteximg.com.br/arquivos/ids/174688/ACTERM24--3-.jpg
ACTERM24;spaturbo.vteximg.com.br/arquivos/ids/174689/ACTERM24--1-.jpg
ACTERM24;spaturbo.vteximg.com.br/arquivos/ids/174690/ACTERM24--2-.jpg
ACTERM28;spaturbo.vteximg.com.br/arquivos/ids/194420/ACTERM29---ACTERM28---1-.jpg
ACTERM28;spaturbo.vteximg.com.br/arquivos/ids/194421/ACTERM29---ACTERM28---3-.jpg
ACTERM28;spaturbo.vteximg.com.br/arquivos/ids/194422/ACTERM29---ACTERM28---2-.jpg
ACTERM28;spaturbo.vteximg.com.br/arquivos/ids/194423/ACTERM28--1-.jpg
ACTERM28;spaturbo.vteximg.com.br/arquivos/ids/194424/ACTERM28.jpg
ACTERM29;spaturbo.vteximg.com.br/arquivos/ids/194425/ACTERM29---ACTERM28---1-.jpg
ACTERM29;spaturbo.vteximg.com.br/arquivos/ids/194426/ACTERM29---ACTERM28---3-.jpg
ACTERM29;spaturbo.vteximg.com.br/arquivos/ids/194427/ACTERM29---ACTERM28---2-.jpg
ACTERM29;spaturbo.vteximg.com.br/arquivos/ids/194428/ACTERM29.jpg
ACTERSPCX05;spaturbo.vteximg.com.br/arquivos/ids/216534/ACTERSPCX04.jpg
ACTERSPCX05;spaturbo.vteximg.com.br/arquivos/ids/216535/ACTERSPCX05-2022--2-.jpg
ACTERSPCX05;spaturbo.vteximg.com.br/arquivos/ids/216536/ACTERSPCX05-2022--4-.jpg
ACTERSPCX05;spaturbo.vteximg.com.br/arquivos/ids/216537/ACTERSPCX05-2022--5-.jpg
ACTERSPCX07;spaturbo.vteximg.com.br/arquivos/ids/216538/ACTERSPCX04.jpg
ACTERSPCX07;spaturbo.vteximg.com.br/arquivos/ids/216539/ACTERSPCX05-2022--2-.jpg
ACTERSPCX07;spaturbo.vteximg.com.br/arquivos/ids/216540/ACTERSPCX05-2022--4-.jpg
ACTERSPCX07;spaturbo.vteximg.com.br/arquivos/ids/216541/ACTERSPCX05-2022--5-.jpg
CMBACTE035;spaturbo.vteximg.com.br/arquivos/ids/171834/ACTERSFB08-ab.jpg
CMBACTE035;spaturbo.vteximg.com.br/arquivos/ids/171835/fita-natural.jpg
CMBACTE035;spaturbo.vteximg.com.br/arquivos/ids/190786/ACTERSFB08--1-.jpg
CMBACTE035;spaturbo.vteximg.com.br/arquivos/ids/190787/ACTERSFB08--2-.jpg
CMBACTE051;spaturbo.vteximg.com.br/arquivos/ids/192223/ACTERSFB09-EXBZPS02-5.jpg
CMBACTE051;spaturbo.vteximg.com.br/arquivos/ids/192224/fita-natural.jpg
CMBACTE051;spaturbo.vteximg.com.br/arquivos/ids/192225/ACTERSFB09--1-.jpg
CMBACTE051;spaturbo.vteximg.com.br/arquivos/ids/192226/ACTERSFB09--2-.jpg
CMBACTE034;spaturbo.vteximg.com.br/arquivos/ids/174613/ACTERSFB10_ab_ML.jpg
CMBACTE034;spaturbo.vteximg.com.br/arquivos/ids/174614/fita-natural.jpg
CMBACTE034;spaturbo.vteximg.com.br/arquivos/ids/190782/ACTERSFB10--1-.jpg
CMBACTE034;spaturbo.vteximg.com.br/arquivos/ids/190783/ACTERSFB10--2-.jpg
ACTERM41;spaturbo.vteximg.com.br/arquivos/ids/155504/ACTERM41.jpg
CMBACTE033;spaturbo.vteximg.com.br/arquivos/ids/189114/ACTERSFP13_ab_ML.jpg
CMBACTE033;spaturbo.vteximg.com.br/arquivos/ids/189115/fita-preta.jpg
CMBACTE033;spaturbo.vteximg.com.br/arquivos/ids/190794/ACTERSFP13--1-.jpg
CMBACTE033;spaturbo.vteximg.com.br/arquivos/ids/190795/ACTERSFP13--2-.jpg
ACTERM43;spaturbo.vteximg.com.br/arquivos/ids/174680/ACTERM43.jpg
ACTERM44;spaturbo.vteximg.com.br/arquivos/ids/174682/ACTERM44.jpg
CMBACTE028;spaturbo.vteximg.com.br/arquivos/ids/216326/ACTERSFT05_ab.jpg
CMBACTE028;spaturbo.vteximg.com.br/arquivos/ids/216327/CMBACTE028.jpg
CMBACTE028;spaturbo.vteximg.com.br/arquivos/ids/216328/Fita-titanium-2mm.jpg
CMBACTE028;spaturbo.vteximg.com.br/arquivos/ids/216329/ACTERSFT05--1-.jpg
CMBACTE028;spaturbo.vteximg.com.br/arquivos/ids/216330/ACTERSFT05--2-.jpg
CMBACTE060;spaturbo.vteximg.com.br/arquivos/ids/174625/ACTERSFT06_ab_ML.jpg
CMBACTE060;spaturbo.vteximg.com.br/arquivos/ids/174626/Fita-titanium-2mm.jpg
CMBACTE060;spaturbo.vteximg.com.br/arquivos/ids/190763/ACTERSFT06--1-.jpg
CMBACTE060;spaturbo.vteximg.com.br/arquivos/ids/190764/ACTERSFT06--2-.jpg
ACTERM472;spaturbo.vteximg.com.br/arquivos/ids/155510/ACTERM472.jpg
ACTERSFT072;spaturbo.vteximg.com.br/arquivos/ids/165466/ACTERM47.jpg
ACTERSMB02;spaturbo.vteximg.com.br/arquivos/ids/177901/ACTERM53---ACTERSMB02.jpg
ACTERSMR02;spaturbo.vteximg.com.br/arquivos/ids/174710/ACTERM54---ACTERSMR02.jpg
ACTERM65;spaturbo.vteximg.com.br/arquivos/ids/155514/ACTERM65.jpg
ACTERSFP07;spaturbo.vteximg.com.br/arquivos/ids/155515/ACTERM66.jpg
ACTPVL01;spaturbo.vteximg.com.br/arquivos/ids/155556/ACTPVL01.jpg
ACTRVC08;spaturbo.vteximg.com.br/arquivos/ids/168775/ACTRVC08--4-.jpg
ACTRVC08;spaturbo.vteximg.com.br/arquivos/ids/168776/ACTRVC08--3-.jpg
ACTRVC08;spaturbo.vteximg.com.br/arquivos/ids/183939/ACTRVC08--1-.jpg
ACTRVC09;spaturbo.vteximg.com.br/arquivos/ids/178026/ACTRVC09-4-.jpg
ACTRVC09;spaturbo.vteximg.com.br/arquivos/ids/178027/ACTRVC09--2-.jpg
ACTRVC09;spaturbo.vteximg.com.br/arquivos/ids/178028/ACTRVC09--1-.jpg
ACVDT01;spaturbo.vteximg.com.br/arquivos/ids/155564/ACVDT01.jpg
ACVDT01;spaturbo.vteximg.com.br/arquivos/ids/155565/ACVDT01_VEDAESCAPE_1000X1000.jpg
ACWN05;spaturbo.vteximg.com.br/arquivos/ids/155566/ACWN05_1.jpg
