;;;ML VELHA;;ML NOVA;;;;B2B - 1;B2B - 2;B2B - 3
;;100%;100%;95%;100%;95%;;B2C;15%;20%;30%
SKU;Descrição do Produto;Preço VTEX;Premium;Clássico;Premium;Clássico;Maior Preço;Menor Preço;Desconto;Desconto;Desconto
68.7;Interruptor tipo chave caça com led Copy; R$ 33.155,00 ;  ;  ;  ;  ; R$ 33.155,00 ; R$ 33.155,00 ; R$ 28.181,75 ; R$ 26.524,00 ; R$ 23.208,50 
81,0 mm (MVLPTW01-MVLANLP06JG) Copy;Kit Pistão Forjado p/ 1.8L 20v VW / Audi / Travas / Pinos / Anéis -  1999-2006; R$ 2.690.305,00 ;  ;  ;  ;  ; R$ 2.690.305,00 ; R$ 2.690.305,00 ; R$ 2.286.759,25 ; R$ 2.152.244,00 ; R$ 1.883.213,50 
aaaaa;Kit Forjado Volkswagen 2.0 AP: Bielas Basic 600cv 144mm (Parafusos 3/8) + Pistões + Anéis + Pinos + Travas; R$ 4.378.455,00 ;  ;  ;  ;  ; R$ 4.378.455,00 ; R$ 4.378.455,00 ; R$ 3.721.686,75 ; R$ 3.502.764,00 ; R$ 3.064.918,50 
ACAC01;Vareta De Óleo Flexível Em Inox P/ Câmbio Th350 V8 Chevrolet;  ;  ;  ; R$ 281,90 ;  ; R$ 281,90 ; R$ 281,90 ; R$ 239,62 ; R$ 225,52 ; R$ 197,33 
ACAC01BK;Vareta de óleo flexível em inox p/ Câmbio TH350 V8 Chevrolet; R$ 267.805,00 ;  ;  ; R$ 281,90 ;  ; R$ 267.805,00 ; R$ 281,90 ; R$ 239,62 ; R$ 225,52 ; R$ 197,33 
ACAC01RD;Vareta de óleo flexível em inox p/ Câmbio TH350 V8 Chevrolet; R$ 267.805,00 ; R$ 281,90 ;  ; R$ 281,90 ;  ; R$ 267.805,00 ; R$ 281,90 ; R$ 239,62 ; R$ 225,52 ; R$ 197,33 
ACADD01;2 jogos de adesivo decorativos entrada de ar (4 adesivos); R$ 46.455,00 ; R$ 48,90 ; R$ 46,46 ;  ;  ; R$ 46.455,00 ; R$ 46,46 ; R$ 39,49 ; R$ 37,17 ; R$ 32,52 
ACADD02;4 jogos de adesivos decorativos entrada de ar (2 adesivos cada embalagem); R$ 96.805,00 ; R$ 101,90 ; R$ 96,81 ;  ;  ; R$ 96.805,00 ; R$ 96,81 ; R$ 82,29 ; R$ 77,45 ; R$ 67,77 
ACADD04;Adesivo decorativo/protetor de carenagem para saída de escape (2 adesivos); R$ 46.455,00 ; R$ 48,90 ; R$ 46,46 ;  ;  ; R$ 46.455,00 ; R$ 46,46 ; R$ 39,49 ; R$ 37,17 ; R$ 32,52 
ACADIT01;Militec-1 Condicionador de metais 200ml; R$ 124.355,00 ;  ;  ;  ;  ; R$ 124.355,00 ; R$ 124.355,00 ; R$ 105.701,75 ; R$ 99.484,00 ; R$ 87.048,50 
ACAM01;Almofada decorativa nitro / NOS - Sem Zíper; R$ 169.955,00 ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 176,79 ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 176,79 ; R$ 150,27 ; R$ 141,43 ; R$ 123,75 
ACAM01B;Almofada decorativa nitro/NOS com zíper; R$ 117.705,00 ;  ;  ;  ;  ; R$ 117.705,00 ; R$ 117.705,00 ; R$ 100.049,25 ; R$ 94.164,00 ; R$ 82.393,50 
ACAM01erro;Almofada Garrafa De Nitro Nos Pelúcia Decoração - Pré Venda;  ;  ; R$ 1.000.000,00 ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
ACAM02;Almofada decorativa turbo/turbina; R$ 105.355,00 ;  ;  ;  ;  ; R$ 105.355,00 ; R$ 105.355,00 ; R$ 89.551,75 ; R$ 84.284,00 ; R$ 73.748,50 
ACAPP02;Apoio de pé em alumínio vermelho; R$ 1.000.000,00 ;  ;  ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
